variable_1,variable_2,COAT
Pyramidobacter,[Ruminococcus]_gauvreauii_group,-0.06673248846476167
Pseudonocardia,UCG-009,0.0
37-13,[Clostridium]_methylpentosum_group,0.3505804303407496
UCG-011,Finegoldia,0.5131240873900798
Robinsoniella,UCG-009,0.0
Lachnospiraceae_FCS020_group,Oxalobacter,0.2254040525523072
Clostridium_sensu_stricto_3,Butyricicoccus,-0.7604905084609258
Candidatus_Stoquefichus,RF39,-0.3152575883952274
Prevotellaceae_NK3B31_group,Ruminococcus,0.0137024040717283
Edwardsiella,Enterobacter,0.9473260788627786
Murimonas,Erysipelotrichaceae_UCG-003,-0.5895246924986948
Anaerovibrio,Fournierella,0.242658780762885
Mycoplasma,Coprococcus,-0.741248976647879
Rikenellaceae_RC9_gut_group,Monoglobus,-0.19234022621222863
Azospira,Lentilactobacillus,0.94613661782054
Candidatus_Soleaferrea,Faecalibacterium,-0.1895994551735194
Anoxybacillus,Phascolarctobacterium,-0.6778267186342056
Salinivibrio,Megamonas,-0.38265279404765656
CHKCI002,[Eubacterium]_brachy_group,0.10590805360879234
Peptostreptococcus,UCG-009,0.0
Azospira,Bifidobacteriaceae,0.9651275119107087
Peptoniphilus,Butyricicoccus,-0.44518561966718717
GCA-900066755,Actinomyces,-0.2697819388586028
[Eubacterium]_xylanophilum_group,Catenibacterium,-0.06938356274401573
marine_group,Lentilactobacillus,0.9611289889799999
Obscuribacteraceae,Dialister,-0.46911825177955435
Prevotellaceae_UCG-004,Dielma,0.3118314738912226
Moryella,Eggerthella,-0.09753268905256812
Clostridium_sensu_stricto_13,Lachnospiraceae_UCG-010,-0.6223883430290292
Pedomicrobium,Lactonifactor,0.4385137570091434
Lautropia,Lachnospiraceae_NC2004_group,0.9274597317773031
Actinomyces,Anaerostipes,0.39224807151779123
marine_group,Bifidobacteriaceae,0.9803442451755906
Caproiciproducens,[Eubacterium]_siraeum_group,-0.12942966641784162
Fimbriiglobus,RF39,-0.4135371520538526
Cosenzaea,Parvimonas,0.4132992897274456
Robinsoniella,Clostridioides,0.6968993435970466
Peptostreptococcus,UCG-005,-0.36846729671172296
Fretibacterium,Methylobacillus,0.968383077118028
Faecalibaculum,Enterorhabdus,0.267145786514727
Synergistes,Erysipelatoclostridium,-0.13225728242707419
Pajaroellobacter,Lacticaseibacillus,0.4414202069571778
Acidibacter,[Eubacterium]_brachy_group,0.0
Selenomonas,Roseburia,-0.7532805501030448
Catabacter,Lachnospira,-0.4266509451733748
Bradyrhizobium,Candidatus_Soleaferrea,0.28947879480984795
Hydrocarboniphaga,Veillonella,-0.4635963338377992
Harryflintia,Lachnospiraceae_UCG-008,0.2388348119563708
Syntrophococcus,Sarcina,0.5904263350066484
Deinococcus,Bacteroides,-0.7288146402586694
Edwardsiella,Limosilactobacillus,-0.06602395865844604
Devosia,DTU089,0.1585365414962246
Muribaculaceae,[Ruminococcus]_torques_group,0.18660600150407197
Faecalibaculum,Serratia,0.8805373806449894
Salinivibrio,Sellimonas,0.01058883550853114
Lachnospiraceae_UCG-001,Eisenbergiella,0.0
Obscuribacteraceae,Levilactobacillus,0.9219157208753804
P5D1-392,Coprobacter,-0.1940734989478774
Oribacterium,UCG-010,-0.2627707484410996
Flavonifractor,Bilophila,0.46572203417098984
Rhodococcus,Oscillibacter,-0.5092116405674656
Pedobacter,Anaerococcus,0.5734014693854972
Paraeggerthella,Acinetobacter,0.21020553506544043
Lachnospiraceae_UCG-001,[Ruminococcus]_torques_group,0.0
UCG-007,Neisseria,0.6833456620316187
Brachyspira,Stenotrophomonas,0.7603489705884033
Paludicola,Olsenella,0.0560575141923341
Varibaculum,Lactonifactor,0.36185851865014584
Actinotignum,Monoglobus,-0.6512464762694128
Hydrocarboniphaga,Porphyromonas,0.37339742230119605
Paraprevotella,Fusicatenibacter,0.1302135365786686
Cloacibacterium,Roseburia,-0.6632042806723806
CHKCI002,[Bacteroides]_pectinophilus_group,0.28773943981388095
Neorhizobium,Bacteriovorax,0.7892507157772082
Cerasicoccus,Dialister,-0.4760742944341486
UCG-009,[Eubacterium]_coprostanoligenes_group,0.0
Lautropia,Acidaminococcus,0.07704285182710455
Fenollaria,Haemophilus,0.0
Succinatimonas,Victivallaceae,0.4287363164307162
Fructilactobacillus,Intestinimonas,-0.2777435493864258
Succinivibrio,Eggerthella,-0.17957041467989263
Anaerofustis,Peptostreptococcus,0.36079897900361557
Methylocella,Paraclostridium,0.5692644120723556
Harryflintia,Synergistes,0.6196571903049135
Burkholderia-Caballeronia-Paraburkholderia,Granulicatella,0.40624863778008197
Catenibacillus,Butyricicoccus,-0.5177658985788097
Blastococcus,Methylobacillus,0.9810150386939936
Acidaminococcus,Lachnoclostridium,0.0
Pedomicrobium,Pygmaiobacter,0.7347157272046358
Methanosphaera,Lachnospira,-0.34064910121721365
Pediococcus,NK4A214_group,-0.5205234127235056
Butyricimonas,Olsenella,-0.24361196767497045
Acinetobacter,Enterobacter,0.24899632774521202
Tissierella,CAG-56,-0.4625354257635058
Rikenella,Pediococcus,0.6743860242341178
Pseudoxanthomonas,Deinococcus,0.962009411632361
JI49D030,Klebsiella,0.8280067909662604
Obscuribacteraceae,Eubacterium,0.2555125764107596
Synergistes,Eisenbergiella,0.02529861461164066
0319-6G20,Helicobacter,0.9237651109117012
Acidibacter,[Bacteroides]_pectinophilus_group,0.5958170453497782
Lapidilactobacillus,Fastidiosipila,0.8483593762774447
Lapidilactobacillus,Desulfovibrio,-0.31088476280796107
Asteroleplasma,Raoultibacter,0.304830570050607
Helcococcus,Colidextribacter,-0.5560771051444254
Sediminibacterium,Mitochondria,0.456300742069753
Ligilactobacillus,Anaerostipes,0.0
Enorma,Anaerostipes,-0.2908045757160632
Sanguibacteroides,Adlercreutzia,-0.1337027538123212
Dubosiella,Hydrogenoanaerobacterium,0.4939584877107962
Thermus,TM7x,0.3906327210384978
Cerasicoccus,Levilactobacillus,0.9229029782788878
Oscillospiraceae,Acidaminococcus,-0.11523516116649479
Acinetobacter,Mitsuokella,0.0
Defluviitaleaceae_UCG-011,Lachnospiraceae_NC2004_group,0.2526188792652182
Selenomonas,Allobaculum,0.7912052985215883
Alishewanella,Parvibacter,0.815188788269009
[Eubacterium]_siraeum_group,Catenibacterium,0.0
Lachnospiraceae_FCS020_group,Bradymonadales,0.2769688558650154
Methylobacterium-Methylorubrum,DTU089,0.09117434957735718
Helcococcus,Kocuria,0.9415779773989568
Helcococcus,Cerasicoccus,0.974041257600095
Mitsuokella,Muribaculaceae,-0.05734943637917108
Bdellovibrio,Phocea,0.14372310320189421
Lactiplantibacillus,Oscillibacter,-0.49713573706215797
Erysipelatoclostridiaceae,Methanosphaera,0.40554074990885064
Alishewanella,Haemophilus,0.1747651200720316
Nitrosomonas,Methylobacterium-Methylorubrum,0.7163275840012601
JI49D030,Anaerotruncus,-0.05713083608042733
Helcococcus,[Eubacterium]_oxidoreducens_group,0.8597504294949754
Aggregatibacter,Libanicoccus,0.5905481209432731
Gastranaerophilales,CAG-352,0.0
37-13,[Eubacterium]_hallii_group,-0.7247360623616792
Azospira,Parasutterella,-0.5328779586134399
Rhodanobacter,Catenibacterium,-0.057609906080506625
Finegoldia,Caproiciproducens,0.35659176232899215
Lachnospiraceae,Parvimonas,0.2399898244819098
Devosia,Clostridium_sensu_stricto_1,-0.6078464959198364
Paraclostridium,Varibaculum,0.3363222252502482
Salinivibrio,Veillonella,-0.45002491480378914
Bdellovibrio,Eikenella,0.8957464104505555
Holdemania,Levilactobacillus,-0.1277680254435848
Cloacibacterium,Allobaculum,0.711457599453217
Hydrogenoanaerobacterium,Candidatus_Soleaferrea,0.2655772005326054
Thermus,Lachnospira,-0.6444085271047576
CHKCI002,[Eubacterium]_fissicatena_group,0.155095897746016
Edwardsiella,[Ruminococcus]_torques_group,-0.723905479196496
Campylobacter,Bifidobacterium,-0.3154838413076886
Hafnia-Obesumbacterium,Arcanobacterium,0.6128516052402738
Pseudonocardia,Lachnoclostridium,-0.5618444511530793
Cerasicoccus,Eubacterium,0.2546188141050028
Murdochiella,Lachnospiraceae_ND3007_group,-0.5327191297861258
Anaerobiospirillum,Tannerellaceae,-0.1473997179249882
Veillonellaceae,Cetobacterium,0.33423514928121306
Azospira,Gordonibacter,0.0208214804716111
Negativicoccus,Ezakiella,0.6100824737834469
Sphingobium,Cupriavidus,0.9429991220065889
Anaerobiospirillum,Hafnia-Obesumbacterium,0.6154498853565734
Howardella,Enterococcus,0.20794751668538264
Erysipelatoclostridiaceae,Paludicola,0.1425358682040498
Tissierella,Sarcina,0.5923136829778856
CHKCI001,Catenibacillus,0.6192511843681745
Megasphaera,Olsenella,0.0
Defluviitaleaceae_UCG-011,Acidaminococcus,0.0
Salinivibrio,Porphyromonas,0.3699965945786142
marine_group,Gordonibacter,0.02113523299417196
Candidatus_Soleaferrea,Methanobrevibacter,-0.0465193951008447
Izemoplasmatales,Ruminococcus,-0.28809453410933883
Dysgonomonas,Victivallis,0.1466868963192396
Oscillospira,Colidextribacter,0.04562963405379624
Erysipelotrichaceae,[Eubacterium]_brachy_group,0.02501089368742938
Terrisporobacter,Butyricicoccus,0.2479416897924096
Merdibacter,Limosilactobacillus,-0.09979672078862892
Acidibacter,[Eubacterium]_fissicatena_group,0.19322350148906642
Prevotellaceae_NK3B31_group,Latilactobacillus,0.0
Mycoplasma,Lachnospiraceae_UCG-010,-0.6204838320368691
Blastomonas,Angelakisella,0.0
Lacticaseibacillus,Pediococcus,0.3983591140483478
[Eubacterium]_oxidoreducens_group,[Eubacterium]_xylanophilum_group,-0.1547561320999264
Finegoldia,Oscillibacter,-0.2440925392670088
Terrisporobacter,[Ruminococcus]_gauvreauii_group,0.174099585341916
Holdemania,Eubacterium,0.09879884548774323
Harryflintia,Olsenella,0.36688474525879217
Cerasicoccus,Syntrophococcus,0.9628841584581453
Aerococcus,Acinetobacter,0.2345446608999436
Sanguibacteroides,Enterorhabdus,0.1455454298872642
Jonquetella,Christensenella,0.4196386926306178
Helicobacter,Dielma,0.3551755666176998
UCG-007,Murimonas,0.9247766779994834
Blastococcus,Methylocella,0.96883518745052
Bradyrhizobium,Clostridium_sensu_stricto_2,0.5304002344304658
Ezakiella,Oscillospira,0.1536901113127664
Bosea,Succinatimonas,0.7265962235683098
Aggregatibacter,Anaerofilum,0.5234964246608639
Pedomicrobium,Fretibacterium,0.9632489590326626
Oscillospira,[Eubacterium]_oxidoreducens_group,0.1122153000904961
Bifidobacteriaceae,Barnesiella,-0.4957945175983096
Fusobacterium,Escherichia-Shigella,0.24568897698890382
UCG-007,UC5-1-2E3,0.7504001213469167
Helcococcus,Dolosicoccus,0.9762959599075636
Merdibacter,Erysipelatoclostridium,0.0658075343875352
Clostridium_sensu_stricto_3,Muribaculum,0.8161111237452184
Obscuribacteraceae,Agathobacter,-0.5853034729995208
Alistipes,Fusicatenibacter,0.43941307622570597
Methylobacterium-Methylorubrum,Clostridium_sensu_stricto_1,-0.4370984650305476
Chryseobacterium,Eggerthella,-0.15704215107897362
Papillibacter,Mitsuokella,0.10727780408360113
RF39,Turicibacter,0.1925560864584394
Oxalobacter,Eggerthella,-0.14764047356483562
Proteus,Intestinibacter,-0.3731369024995296
Mucispirillum,Roseburia,-0.7444399518952329
Catenisphaera,Fusobacterium,-0.1361990252753802
Lawsonella,Methylobacillus,0.8848608639615245
Bdellovibrio,Faecalicoccus,0.543357685222521
Aquabacterium,Enhydrobacter,0.772899279961038
Harryflintia,Candidatus_Stoquefichus,0.4908528239672855
Oribacterium,UCG-008,0.6572694712246456
Pannonibacter,Fusobacterium,-0.1602180750646746
Macrococcus,Akkermansia,-0.3362969272750556
RF39,Cloacibacillus,0.0
Candidatus_Obscuribacter,Dorea,-0.7884951018630789
Cosenzaea,Phascolarctobacterium,-0.6896678031167338
Anaerovibrio,Mitochondria,0.48140718463269955
CHKCI001,Muribaculaceae,-0.4065202325491528
Anaeroplasma,Ezakiella,0.5608623986059393
Cutibacterium,Victivallis,0.16831762724575222
Dermacoccus,Victivallis,0.16656380548973382
Legionella,Fimbriiglobus,0.966256072882091
JI49D030,Clostridia_vadinBB60_group,-0.08172624474753867
[Eubacterium]_saphenum_group,Ruminococcus,-0.6026647732580732
Mitochondria,Angelakisella,0.0
Legionella,Prevotella_9,-0.5489785363870218
Prevotellaceae_UCG-001,Odoribacter,-0.187815547959797
Pseudoramibacter,Pediococcus,0.7948973687235741
DTU089,Parasutterella,-0.163803448680714
Anaeroplasma,Peptoclostridium,0.4396018346175746
Bacteriovorax,Cloacibacterium,0.6989365764449731
Peptoclostridium,Parabacteroides,-0.38938814794824383
Prevotella_7,Lachnospiraceae_ND3007_group,-0.1516963077822918
Lachnospiraceae_UCG-003,Parabacteroides,-0.2020276658880534
Stenotrophomonas,Lachnospiraceae_ND3007_group,-0.4352384400472392
Methylobacillus,Libanicoccus,0.7945163961383613
Dermacoccus,UCG-009,0.0
UCG-007,Saccharimonadales,0.9234472020666553
Allobaculum,Mogibacterium,0.12296822898467322
Cerasicoccus,Agathobacter,-0.5861213728806274
Hafnia-Obesumbacterium,Holdemanella,-0.17073249898622023
Blastococcus,Defluviitaleaceae_UCG-011,0.2635305711917988
Merdibacter,Eisenbergiella,0.1289581975730748
Halomonas,Oscillospira,0.1312225076689396
Afipia,UCG-004,0.7137336577445068
Catenisphaera,Megasphaera,0.0
Fructilactobacillus,F0332,0.4960971507164372
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,GCA-900066575,-0.01210994931179256
Asticcacaulis,Faecalibacterium,-0.6717649560765158
Serratia,Pseudoalteromonas,0.9112462527088038
Merdibacter,[Ruminococcus]_torques_group,-0.327336066637376
Parvibacter,Roseburia,-0.6698149096927493
Cutibacterium,Anoxybacillus,0.9557322067655878
Pedobacter,Streptococcus,-0.6672225470344095
TM7x,Dorea,-0.2894678213437264
Prevotellaceae_UCG-003,Phocea,0.12833668477899704
Prevotellaceae_UCG-004,Prevotella_9,-0.47459873257891516
Pannonibacter,Megasphaera,-0.1860628193297044
UCG-004,UCG-010,-0.0729539613117502
Anaerobiospirillum,S5-A14a,0.8371248850632208
Ezakiella,Sutterella,-0.2428922530487258
Dysgonomonas,Enterococcus,0.532747377236068
[Eubacterium]_ruminantium_group,Anaerostipes,0.0
Lapidilactobacillus,Epulopiscium,0.5344572225615846
Porphyromonas,Bilophila,-0.23675814404355297
Mucispirillum,Allobaculum,0.7873557181649378
Caproiciproducens,Bacillus,0.5762835766214687
Slackia,Faecalibacterium,-0.07432263464652458
Pediococcus,[Eubacterium]_coprostanoligenes_group,-0.6445272089066282
Lactococcus,Christensenellaceae_R-7_group,0.0
Porphyromonas,Shuttleworthia,0.2092096905607904
Holdemania,Agathobacter,0.08156693516404435
Stomatobaculum,Christensenellaceae_R-7_group,-0.5934181504703908
Anaerofilum,Allisonella,-0.15983271516067019
Rothia,Adlercreutzia,-0.01030358743093026
Prevotellaceae_UCG-003,Eikenella,0.8029505465633582
Acinetobacter,Anaerococcus,0.184302486309997
Sediminibacterium,Coprococcus,-0.6586897320052784
Bacteriovorax,Acetanaerobacterium,0.487591895829394
[Eubacterium]_saphenum_group,Oceanivirga,0.9709178038186325
Rikenella,[Eubacterium]_brachy_group,0.01005233599971646
DTU014,Tyzzerella,-0.1179686937888664
Alloprevotella,Lachnospiraceae_UCG-004,0.20943099794346098
Erysipelotrichaceae,[Eubacterium]_fissicatena_group,0.2767660746432532
Afipia,Fusobacterium,-0.14659388802879877
Dubosiella,S5-A14a,0.8475717288617153
Sediminibacterium,Negativicoccus,0.8220844055256775
Paraclostridium,Lachnospiraceae_UCG-001,-0.060367435062099885
Harryflintia,Providencia,0.7494331733928805
Methylobacillus,Anaerofilum,0.6824321019309307
Brevundimonas,Intestinimonas,-0.2786592745803056
Faecalicoccus,[Eubacterium]_eligens_group,-0.27293090174750084
Hydrogenoanaerobacterium,Actinomyces,-0.23796716651999178
Lachnospiraceae_UCG-007,Syntrophococcus,0.9631458671463708
Paraeggerthella,Lactonifactor,0.38680642741384574
Pseudopropionibacterium,Chloroplast,0.0
Muribaculaceae,Odoribacter,0.43825414931101514
Hungatella,Holdemanella,-0.11577805483685699
Pedomicrobium,Negativibacillus,-0.29470147390367263
Fretibacterium,Victivallaceae,0.46210781635669146
Coriobacteriaceae_UCG-002,Anaerostignum,0.41906928140895117
Acidibacter,Dubosiella,0.6782524283452803
37-13,Methylobacterium-Methylorubrum,0.7187093041787161
env.OPS_17,Lachnospiraceae_UCG-010,-0.5523747923744956
Bacteriovorax,Actinotignum,0.8000926839827217
Lachnospiraceae_UCG-001,Odoribacter,0.11539674446072254
Tannerellaceae,Olsenella,-0.0374226121119729
Alloprevotella,Raoultella,-0.21037856674844857
Pygmaiobacter,Catenibacillus,0.49898449071599194
Methylocella,[Ruminococcus]_gauvreauii_group,-0.37398242067185417
Lachnospiraceae,Phascolarctobacterium,-0.4494237512039664
Candidatus_Obscuribacter,Mesorhizobium,0.6619116798268396
S5-A14a,Lachnospiraceae_UCG-008,0.2572129152955262
Centipeda,Scardovia,0.8223746781902135
Porphyromonas,Subdoligranulum,-0.30387187861220677
Dysgonomonas,Lachnoclostridium,-0.5279357483853336
Bradyrhizobium,Eggerthella,-0.07023831638948871
UCG-008,Coprobacillus,0.1400961077333964
0319-6G20,[Ruminococcus]_gnavus_group,-0.31008881340162564
Cutibacterium,Enterococcus,0.584249648422929
Halomonas,Sutterella,-0.41598816476029465
Clostridia_vadinBB60_group,[Eubacterium]_siraeum_group,0.25556988335142256
Pedobacter,[Clostridium]_methylpentosum_group,0.3520301375162155
Lachnoanaerobaculum,Pediococcus,0.7912379772246686
Victivallaceae,Companilactobacillus,0.388144033484989
Pseudoalteromonas,[Eubacterium]_eligens_group,-0.4890297342631068
Anaerostignum,Solobacterium,0.1705859787747388
Lachnospiraceae_UCG-004,Collinsella,0.2385416283154338
Izemoplasmatales,Monoglobus,-0.3783445667133858
Cryptobacterium,Lachnospiraceae_UCG-008,0.2999844724080068
Pseudonocardia,Prevotellaceae_UCG-003,0.8206270225051442
Robinsoniella,Prevotellaceae_UCG-003,0.7742903009571652
Dolosicoccus,[Eubacterium]_eligens_group,-0.49158894251516144
Varibaculum,Negativibacillus,-0.1486924908000366
CHKCI001,Fenollaria,0.4227897840492476
Fastidiosipila,Butyricimonas,-0.49516805043390244
[Eubacterium]_saphenum_group,Brevundimonas,0.7400823284148208
Staphylococcus,CAG-352,0.0
Enorma,Lactobacillus,0.10504591604743492
Lachnospiraceae_UCG-010,Lachnospiraceae_ND3007_group,0.4178615613722532
Dellaglioa,Oscillibacter,-0.5698984177227872
Prevotellaceae_UCG-001,Ligilactobacillus,0.0
Cuneatibacter,Megamonas,-0.405581109157367
Prevotellaceae_UCG-003,Faecalicoccus,0.4866018276006594
UCG-005,NK4A214_group,0.5517278558553016
Rikenella,[Bacteroides]_pectinophilus_group,0.6734568599882322
Morganella,Parvimonas,0.27459442230193504
Rothia,Enterorhabdus,-0.011606603053184481
Synergistes,Odoribacter,-0.4908962503272482
Lachnospiraceae_UCG-008,Prevotella_7,-0.03361679079013884
Blastococcus,Victivallaceae,0.46952163673254976
Atopostipes,Pediococcus,0.785034276663271
Eikenella,Lachnospiraceae_NC2004_group,0.9184868401462014
Novosphingobium,Fructilactobacillus,0.6099413006039691
Paraeggerthella,Pygmaiobacter,0.6242668520869207
Pseudomonas,[Eubacterium]_ruminantium_group,-0.3196302059103662
Cosenzaea,Lacticaseibacillus,0.4404219427942926
TM7x,Mesorhizobium,0.5192051378025163
Pedomicrobium,Aerococcus,0.9435500499308663
Lawsonella,Defluviitaleaceae_UCG-011,0.23355716994158843
Sneathia,Morganella,0.5690163668438848
Bradymonadales,Enterobacter,0.9303070099058559
Sphingomonas,Clostridium_sensu_stricto_13,0.7127665789065424
Papillibacter,Anaerococcus,0.47757133265772234
Cryptobacterium,Synergistes,0.6952916172917604
Lacticaseibacillus,[Eubacterium]_brachy_group,0.08988003645320197
Kocuria,Caulobacter,0.8305182889357583
Hafnia-Obesumbacterium,DTU014,0.6058680748608193
[Bacteroides]_pectinophilus_group,Parabacteroides,-0.6978565468016831
Lachnospiraceae_UCG-007,Lachnospiraceae_UCG-004,-0.44467847879545125
Thermus,Caproiciproducens,0.6986437543165313
Afipia,Elusimicrobium,0.6900077303604346
Actinotignum,Peptostreptococcus,0.5442808187992497
Lachnospiraceae_FCS020_group,Libanicoccus,0.230094993609372
Candidatus_Obscuribacter,Hungatella,0.0
Lautropia,Akkermansia,-0.343287432037802
[Eubacterium]_fissicatena_group,Anaerostipes,-0.09856114188472054
Pygmaiobacter,Muribaculaceae,-0.2914129981436
Cetobacterium,Paraprevotella,-0.24670090559715524
Cutibacterium,Lachnoclostridium,-0.5599810064280439
Dielma,Victivallis,0.1350254840234
Aquabacterium,Murdochiella,0.9009392333883394
Dermacoccus,Lachnoclostridium,-0.5558103641373424
Brevundimonas,Dielma,0.2568139912445146
Cuneatibacter,Sellimonas,0.06315251143107485
Edwardsiella,Odoribacter,-0.6506723982235251
Succiniclasticum,Clostridium_sensu_stricto_13,0.8687541017325581
Pediococcus,Enterorhabdus,0.26568187004799076
Anaerovibrio,Coprococcus,-0.7325641913230312
Moryella,Family_XIII_AD3011_group,-0.0617158309245915
Hafnia-Obesumbacterium,Dialister,-0.263426731912263
Lachnospiraceae_UCG-007,Raoultella,0.9518501725020545
[Eubacterium]_saphenum_group,Monoglobus,-0.6581150469745566
[Eubacterium]_saphenum_group,Cardiobacterium,0.9069013550676326
Barnesiella,Erysipelotrichaceae_UCG-003,0.1776258782585512
Novosphingobium,Frisingicoccus,0.40829738043388986
Erysipelatoclostridiaceae,HT002,0.3641836554165726
Anaerobiospirillum,Coriobacteriaceae_UCG-002,0.9219746420064
37-13,Bosea,0.9681558206161693
Eikenella,Acidaminococcus,0.07542683104064038
Syntrophococcus,Marvinbryantia,-0.2471386310320082
Moryella,Faecalibacterium,-0.2628631052692512
Pedobacter,vadinBE97,0.5316339989810738
Oscillospiraceae,Akkermansia,0.02604018081591314
Pyramidobacter,Enteroscipio,0.11054273677725432
Phocaeicola,Ruminococcus,-0.5650516456431031
Anaerovibrio,Negativicoccus,0.9087126508285696
UCG-007,Limosilactobacillus,-0.024512168664505778
Aerococcus,Lactonifactor,0.4570671156602316
Helicobacter,Prevotella_9,-0.5000344682542435
Fructilactobacillus,NK4A214_group,-0.3919490324419862
Helcococcus,Holdemania,-0.11612653135678282
Thermus,Oscillibacter,-0.5730745950149126
Pseudonocardia,[Eubacterium]_nodatum_group,0.5491991514873812
Scardovia,Intestinimonas,-0.322128125469117
Muribaculaceae,Ligilactobacillus,0.0
TM7x,Hungatella,0.0
Robinsoniella,[Eubacterium]_nodatum_group,0.517554286849785
Fretibacterium,Candidatus_Methanogranum,0.9029731833776833
Pseudomonas,Campylobacter,0.2670361624874584
Solobacterium,Oscillibacter,-0.413207656363704
Catenisphaera,Butyricicoccus,-0.3266064714627362
Amaricoccus,Stenotrophomonas,0.7380823577862783
Lachnospiraceae_UCG-001,Ligilactobacillus,0.07009425702291115
Burkholderia-Caballeronia-Paraburkholderia,Solobacterium,0.39974476717696206
Erysipelotrichaceae,Dubosiella,0.9569721943138445
Lacticaseibacillus,[Bacteroides]_pectinophilus_group,0.3794954946397008
Bosea,Staphylococcus,0.5354389884999422
Lachnospiraceae_FCS020_group,Anaerofilum,0.156785750451984
Mobiluncus,Collinsella,-0.6454025651137834
UCG-007,Erysipelatoclostridium,-0.1457561178622698
Pannonibacter,Butyricicoccus,-0.7619567781750062
Cetobacterium,HT002,0.1829903507074332
Lactococcus,Desulfovibrio,0.0
Bacillus,Paraprevotella,-0.40593391733700124
Stomatobaculum,Fastidiosipila,0.9167340105649944
Synergistes,Lachnospiraceae_UCG-001,-0.10367666407053606
Stomatobaculum,Desulfovibrio,-0.3638483241962784
Epulopiscium,Prevotella_9,-0.3447545089343256
Taibaiella,Methylobacillus,0.9792563174678428
vadinBE97,Lactobacillus,0.059166713467286434
Rhodanobacter,Gemella,0.0
Macrococcus,Weissella,0.0
Mailhella,Fournierella,0.02496017848312888
Phocea,Eggerthella,0.08464357438904921
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Fusicatenibacter,-0.5971878789646349
Centipeda,Parvibacter,0.7513935751851778
marine_group,UCG-007,0.953996025806029
Clostridioides,Lachnospiraceae_UCG-010,-0.4972760054139694
Psychrobacter,Caproiciproducens,0.6761042847762829
Peptoniphilus,Clostridia_vadinBB60_group,-0.0867762678696183
Anaerostignum,Blautia,-0.2593013252298898
DTU014,UCG-003,-0.636295131194855
Dubosiella,F0332,0.6346092482743166
Lachnospiraceae,Lacticaseibacillus,0.2718314086531512
Defluviitaleaceae_UCG-011,Akkermansia,0.0
Succinivibrio,Faecalibacterium,-0.2174387195934564
Centipeda,Haemophilus,0.15299084156720238
Mobiluncus,Flavonifractor,-0.4592150040713542
Cryptobacterium,Olsenella,0.38496428740077626
Family_XIII_AD3011_group,Monoglobus,0.171947648244106
